assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,a48f3e73-2cb3-4114-8238-2a4fac3f392a,0,a190c307-a741-435c-b5e9-72c003cb2271,DCAT-AP is included only in the national catalogue of Belgium and its NIF is not aligned with 4 out of 5 sections of the EIF according to NIFO factsheets.
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,50824f7a-5837-4474-b9d2-b5f33eb74191,1,a6b325e8-ecb2-444d-8654-24fed690d47c,"DCAT-AP is an RDF vocabulary for representing data catalogues that allows data owners to provide metadata about the datasets they publish. By describing catalogues, datasets and resources, a publisher makes them easily searchable and discoverable.

In fact, DCAT-AP is used for the publication of datasets in linked open data portals at a National (e.g. ) and European scale ( European Data Portal)

See:                                                                                                                                       https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/releases"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,143c4328-948d-43a9-b858-fd45b4b46045,1,ad83a9bf-8228-4e09-b1eb-d6b9808b9b65,"SEMIC,  the Semantic Interoperability Community, who is in charge of developing DCAT-AP has a specific Change and Release Management Policy for DCAT-AP where they encourages any stakeholder to contribute to the development of the specification.

See: 
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/document/change-and-release-management-policy-dcat-ap 
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/about
https://github.com/SEMICeu/DCAT-AP
"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,5b2bd704-f643-468b-a2f7-684e160a9b1d,1,b8191b39-8afd-4f8c-bf89-7d9ba2836028,"A public review is part of the decision-making process defined by the change and release management policy.

See: 
Europe/document/change-and-release-management-policy-dcat-ap 
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/about

"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,f1a97768-1499-4332-9cc4-7b69178bba7c,1,1c913cf6-c53f-4db4-8e4d-cd01e3875bd6,"DCAT-AP is made available by SEMIC for free on Joinup, the collaborative platform created by the European Commission to share and reuse IT solutions and good practices.

See: 
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/releases"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,b5b3d37b-a892-4fdd-9b16-72d30bd48875,1,4639e0ae-677b-4520-9263-3e280026c164,"DCAT-AP is Licensed on a royalty-free basis under the European Union Public License (EUPL).

See:
https://administracionelectronica.gob.es/ctt/dcatap/abstract#.XbFndZozY2w
https://joinup.ec.europa.eu/sites/default/files/custom-page/attachment/eupl_v1.2_en.pdf
"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,55e54353-7cb2-4e1a-ac86-c8d50eedc072,1,095c4a44-0aa9-4f6f-ae1f-2dec0ae2dee9,"DCAT-AP is Licensed on a royalty-free basis under the European Union Public License (EUPL).

See:
https://administracionelectronica.gob.es/ctt/dcatap/abstract#.XbFndZozY2w
https://joinup.ec.europa.eu/sites/default/files/custom-page/attachment/eupl_v1.2_en.pdf"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,1ee33f1c-228e-4ed7-b3fb-54ed54919c57,1,c4e1370c-0de8-4b66-97ec-e3cdf405ff5c,"DCAT-AP has a significant market acceptance. It has been successfully implemented by several European Union Institution:
• The European Commission DG CONNECT with the European Data Portal
• The Publications Office of the European Union with the European Union Open Data Portal
• The European Commission DG JRC with the JRC Data Catalogue
 and National Public administrations across Europe:
• The German GovData Business Office with the German Data Portal
• The Belgian Federal Public Service for ICT with the Belgian open data portal
• The Dutch Ministry of Interior and Kingdom Relations with the Dutch open data portal
• The Open Data Portal of Switzerland with the Geocat CKAN Harvester
• The Spanish Open Data Portal
• The Swedish innovation agency VINNOVA and the Swedish national data portal
• Swedish MetaSolutions and the EntryScape Catalogue

See complete list of users/implementations:
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/about "
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,89c10915-51b5-40a1-8633-adebc2f913b3,1,56427442-eb60-4297-8ad2-7d4d6c80827c,"At the moment of performing this assessment, Linked Open Data portals are innovative solutions adopted by public administrations all around Europe. DCAT-AP fosters the implementation of Five-Star Linked Open Data by allowing users to discover interlinked information from other portals. 

See:
https://www.ontotext.com/knowledgehub/fundamentals/five-star-linked-open-data/
https://www.europeandataportal.eu/en
http://data.europa.eu/euodp/en/home
http://data.jrc.ec.europa.eu/"
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),83adcfe7fd6d09d1d78d43905709f9566f30e9378e845fa0e04c258537c153e4,be8b6a4c-7351-472d-a14c-bf43c8186fca,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/release/200,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,10/31/2019,European Standard,A10,0229101dfe08cbe58da1e454363d30a8178a2e120466c8db23965488cae5c8b1,The standard or specification has a strong support from at least one developer community.,f82b092d-a710-4329-aba2-55cdecb4cfe1,1,f6d0adda-00fc-4493-8cf1-1bc53ce2aa05,"DCAT-AP has a strong support from different communities. In fact, it is a joint initiative of:
• The DCAT-AP Working Group; the Directorate-General for Informatics: DG • DIGIT - in particular the SEMIC action of the ISA² programme;
the Directorate-General for Communications Networks, Content & • Technology: DG CONNECT; and
• The Publications Office of the EU.

See:
https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/about  
https://ec.europa.eu/isa2/sites/isa/files/leaflet_dcat-ap_lr_v13.pdf 
"
