assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,3839d0ad-407d-4237-b1c0-a34b6f8194ee,1,05bc7319-4ac6-4d2d-82fb-71f7d7d1397b,"SOAP 1.2 is included in 2 national catalogues of recommended specifications. They belong to the Netherlands and Spain. The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO)factsheets.

See:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,83bce011-4298-49d3-8c94-cc348d91ec2b,1,a8c0eef0-379a-4722-b25e-5b2ef675297c,"According to the 5 star Open Data model suggested by Tim Berners-Lee about how to publish linked data, the second star corresponds to make data available as structured data, an area of application of SOAP 1.2.

In addition, SOAP 1.2 serialisation provides several advantages, especially if the Semantic Web is not just about providing metadata for existing web pages, but also about exchange of content that is machine-readable.  

See:
https://5stardata.info/en/
https://pdfs.semanticscholar.org/dbf2/6496e5b3087b708d4c00883c6470b53ff8d8.pdf"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,64f518f0-6e45-4788-a21b-90cafeeb76e4,1,d3346550-cb33-4f55-964d-11c63ced3f7e,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,1e2d3d87-58b4-4321-8bab-b72ec3997d7b,1,addd9787-c388-4b44-b2e0-f5473b1c87aa,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,1b208fee-eca6-4794-9153-ec70c3ee8d28,1,519e52a5-d1df-45d6-b08b-bf4ab5ac80d5,"SOAP 1.2 is publicly available for implementation and study for free on W3C's webpage. 

See:
https://www.w3.org/TR/soap12/"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,778c7efe-eb65-448b-8859-344419b67931,1,9934b9d6-0ffc-4941-b6d4-9599e85f21af,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including SOAP 1.2.

See:
https://www.w3.org/TR/patent-practice#ref-AC "
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,d89a3eba-c4c8-448b-b5e9-ee8e1485d166,1,98ac715f-190e-4818-a8f9-8214c56fdb06,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including SOAP 1.2.

See:
https://www.w3.org/TR/patent-practice#ref-AC"
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,1e46ea40-65ac-4c56-81ec-e5582718c910,1,f68768c7-4431-46c6-9a17-5a27c789bcd6,"The specification is a widely used de-facto standard. It was launched for the first time in 1998 by engineers from Microsoft. Other companies with a wide market share are contributed to the development of the specification. Additionally, SOAP is developed and maintained by W3C and its working group. Thus, it is sufficiently mature for the development of products and services.

See:
https://www.w3.org/TR/soap12/  "
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,e6047f6e-0af6-4642-83e0-56af608cb29a,1,b4c7352c-3819-4c22-be10-ea9c8d8f7a0d,"Nowadays, SOAP 1.2 is a de-facto messaging protocol for exchanging information in a structured way, and invoke web services SOAP-based. It is used in a wide variety of solutions, while REST is widely used as well, SOAP remains as one of the main protocol to implement SOAs, and this fact includes innovative solutions. "
3dfa65a7bb19584569558cf85efcc952a71da0615e6734419e721b7831749698,SOAP,3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,31-19-2019,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),2e460ba72bb849ac369c4b71cf891c8f51f6ae9144ca6834b06486d1cedabc01,eb15070f-c092-47c2-aca9-c934ca800add,SOAP,https://www.w3.org/TR/soap12-part0/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,31-19-2019,Generic Specification,A10,0229101dfe08cbe58da1e454363d30a8178a2e120466c8db23965488cae5c8b1,The standard or specification has a strong support from at least one developer community.,62d725a2-90c7-4da0-b75f-31908ad5395d,1,48ceaf26-ab1c-4057-9886-bf124b87e42d,"SOAP 1.2 is maintained by W3C which is an international community developing open standards. 

See:
https://www.w3.org/Consortium/"
