assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,6954d604-cc66-40df-b9a7-00ad5b81668c,1,5e036300-1a03-45ed-a462-7fb76f8cea17,"OWL2 is included in 2 national catalogues of recommended specifications. They belong to the Netherlands and Spain.
The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets. 

National catalogue the Netherlands: 
https://www.forumstandaardisatie.nl/open-standaarden

National catalogue Spain:
https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Interoperabilidad_Inicio/pae_Normas_tecnicas_de_interoperabilidad.html#CATALOGOESTANDARES

NIFO factsheets:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,f0b32dc0-8b1f-4bf7-b2e6-bf4294226418,1,db103ef2-061b-49d5-a646-a1f804deca18,"OWL allows accessing, importing, sharing and reusing public ontologies. OWL2 is based on elements of RDF and it adds more vocabulary for describing properties and classes. RDF is one of the proposed standards for the publication of data as Linked Open Data. So, the specification is highly aligned with the different levels of maturity of Tim Berners-Lee's 5-star schema for Open Data._x000D_
_x000D_
OWL2 W3C reference:_x000D_
https://www.w3.org/TR/owl2-overview/_x000D_
_x000D_
Tim Berners-Lee 5 star schema for Open Data:   _x000D_
https://5stardata.info/en/"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,77b6cf01-04e5-4410-b676-9c645f55e57b,1,1bf0e51c-6ae7-4e3d-a467-b202d3edd449,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,5989cf27-e918-4f34-ac32-f57887c5913d,1,6c53f490-1953-46b0-a0fc-d2c9ff64135b,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies "
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,a3d0c373-3af7-4958-bdcf-b4bc8fb142da,1,4e042dcb-a7e0-4862-80bc-b9beca911b0c,"OWL2 is publicly available for implementation and study for free on W3C's webpage. 

OWL2 W3C reference:
https://www.w3.org/TR/owl2-overview/"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,923ae5fa-8577-495f-8ab3-6774f353a07b,1,0ddbfeaf-3d84-406a-a745-3f034e4a796c,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including OWL2.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,b922c47e-9031-4f9d-86ea-0dc9a94fc1a1,1,37ff4fd3-22f6-4846-8334-99a8e64881f4,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including OWL2.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,f81a4482-42aa-404f-9168-940d6181e9bf,1,6f8bc57b-2a24-49ec-8115-df80b3fa98f2,"The first version of OWL was released in 2004 which was designed as representation languages for authoring ontologies. Some years later, in 2009, a new W3C working group started to extend OWL with several new features. W3C announced the new version, OWL2, on 27 October 2009. 
This new version soon found its way into semantic editors such as Protégé and semantic reasoners such as Pelle, so this specification is mature enough for its use.

OWL2 W3C reference:
https://www.w3.org/TR/owl2-overview/"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,5045514e-a4f9-460d-b05c-8d511ee443f0,1,4d835980-c95e-4538-8665-05a39a96d1f6,"Many implementations are using OWL2 in the market. In the following link, there is a summary with some important examples. Moreover, there are a lot of software supporting the implementation and usage of the specification.
_x000D_
OWL2 implementation:_x000D_
https://www.w3.org/2001/sw/wiki/OWL/Implementations"
71fea3669e5d93a2f635ed74ba1036e7653a398e088e8c0f3a21733f2017d57f,OWL 2 Web Ontology Language (OWL2),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-07-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),249a50b70a47f517c5fbfbacd35fa8d509773ef16b58276fe4b50dc5c475604a,b3b7c305-5372-4953-8991-fe8afcaf2112,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,2020-07-31,Generic Specification,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,a010ade6-10cf-4813-8fe3-e395f3d776d2,1,3f534018-2a4e-4361-ae3c-0989a685dda6,"OWL2 has been used to develop innovative solutions in numerous cases. Some examples are integrating OWL2 with text editors such as Protégé 4, SWOOP. It has also been integrated with TopBraid Composer which is an enterprise-class modelling environment for developing Semantic Web ontologies. More innovative solutions can be seen at the following link in the 'Editors / Development Environments / APIs' section._x000D_
_x000D_
Also, it is worth to note that OWL is the basis for the creation of Ontologies, and therefore one of the basis for the development of the Semantic Web. _x000D_
_x000D_
OWL2 solutions:_x000D_
https://www.w3.org/2001/sw/wiki/OWL/Implementations"
