assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,3520eb37-e24b-4852-b295-d194577a8247,0,1bfe8290-7b45-4ce3-9d6b-daa5579e1b83,"There is no Member State that includes WS-BPEL in their national catalogue with The National Interoperability Framework (NIF) aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets.

CAMSS List of Standards:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,41b9db96-e14f-474a-93bb-02c206143560,0,6c4dff69-3a19-469a-b4a8-ed5efa0fd9ec,"WS-BPEL does not directly conform with the main conditions to publish data as open data. However, this specification can be used for the consumption of open data by the definition of web services business process. 
 
WS-BPEL OASIS reference:
http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html 

Tim Berners-Lee 5-star schema for Open Data:   
https://5stardata.info/en/"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,3a0ece02-d6fe-4777-bc27-70d88b638efd,1,8bc6ac9a-8f4f-455c-ba33-8c53560d7605,"OASIS has defined a clear Technical Committee (hereby TC) process where all the stakeholders involved have the opportunity to participate in the development of the specification development process. 

OASIS guideline:
https://www.oasis-open.org/policies-guidelines/tc-process-2017-05-26"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,309f7fb2-5480-48f7-8d29-c97652ac7605,1,0e38a766-a370-4bc2-922b-e18b1eea2a26,"OASIS has defined a clear process where all the stakeholders involved have the opportunity to participate in the development of the specification development process. Moreover, there is a public review in the TC process.
 
OASIS guideline:
https://www.oasis-open.org/policies-guidelines/tc-process-2017-05-26"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,2f56d4cd-b63f-44ff-8f90-13078ce7e1a0,1,0626cb53-95e8-46b4-97a6-68cd1d99accf,"WS-BPEL is publicly available for free on OASIS Webpage.

WS-BPEL OASIS reference:
http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,5fd97f3a-925f-4403-989b-e6a844fa9ea1,1,05897824-6fd4-44b3-b5aa-318aca58fd76,"The OASIS Technical Committee, in charge of the development of WS-BPEL, operates under RF on RAND Mode of the OASIS IPR Policy. The specification is licensed on a Royalty-free and (F)RAND basis.

OASIS IPR:
https://www.oasis-open.org/committees/security/ipr.php
https://www.oasis-open.org/policies-guidelines/ipr"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,9faa77aa-96b9-412d-911c-7752fc48ca55,1,6435ea9b-1f35-40ca-8fe9-81d202d5d352,"The OASIS Technical Committee, in charge of the development of WS-BPEL, operates under RF on RAND Mode of the OASIS IPR Policy. The specification is licensed on a Royalty-free and (F)RAND basis.

OASIS IPR:
https://www.oasis-open.org/committees/security/ipr.php
https://www.oasis-open.org/policies-guidelines/ipr"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,7b27defb-9d5c-4c0d-ba9d-593ae70d50b4,1,3f31d943-a30d-4061-9311-2aaacfc76ecd,"The specification was developed by 2004, by OASIS, and has been evolved through different versions. The current version is the 2.0, which is available since the 2007, which demonstrates that it has overcome the possible issues hampering its use and now it is established and used. 

WS-BPEL OASIS reference:
http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html

OASIS webpage:  
https://www.oasis-open.org/"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,692d9eb8-b0de-4724-aeed-5421abcf81c6,1,d311b313-4bc7-43a4-87df-8d050cda95b2,"WS-BPEL is one of the programming language that aims to make any process possible. Moreover, developers can have stability to implement and plan through WS-BPEL as it is one of the most used programming languages in web services.

WS-BPEL OASIS reference:
http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html"
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,Web Services Business Process Execution Language (WS-BPEL) v2.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),0df446c93fc7fc59add5449d846f47101b10b6e30e88a143d6c523aad8117c28,3280c6ba-69cc-48a0-afbd-7e1ceb13accd,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,e5d4f7fa-075e-44e1-b0e6-481c9d3e8059,0,622880be-1d00-437e-bbae-301b89f53c3e,"Even though at the moment of elaborating the assessment the specification is used, the specification in itself does not give any innovative solution since it is a language used for the composition of web services.  "
