assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A1,2d94fbefdcc4c566f135fc475a1c159d175029719782a303705dfb2e4cada6a6,Has the specification been used for different implementations by different vendors/suppliers? ,4fc00c44-2073-4277-ac5d-3898687f3e6b,1,0c9ddcdf-376f-4a3f-8068-1f3b8ecb18ab,"The specification has been successfully implemented in multiple ways and with different approaches by several early adopters from the research services community:
• The Helmholtz Centre Potsdam (GFZ) has prototyped it for use in GEOFON to manage large numbers of overlapping seismological datasets https://github.com/javiquinte/datacoll
• The Perseids Project at Tufts University has used it to improve data sharing and annotation management http://collections.perseids.org/; https://github.com/RDACollectionsWG/perseids-manifold
• The Max Planck Computing and Data Facility (MPCDF) has included it in a generic data repository software https://github.com/TomZastrow/reptor
• The German Climate Computing Center (DKRZ) has used the recommendation to deploy an operative service that enables data users to create custom research data collections (""data carts"") as part of the global Earth System Grid Federation (ESGF): https://esgf-data.dkrz.de/projects/esgf-dkrz/datacart_pid
While these are service providers for specific scientific research communities, the early adoption prototypes demonstrate that, in principle, service provisioning based on the specification is feasible and not bound to particular usage domains.
"
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A2,17edaee27de1ada5f8ee772a0aff160ecdce7a05ce9db18b9a2025f463d0e3a7,Does the implementation of the specification hamper interoperability with the implementation of existing European or international standards? ,9f4a7476-4000-4c1e-a297-8d04592e1028,0,a108f29e-88dd-456a-97d6-b9c99bffd6fd,"The recommendation is aiming to achieve seamless interoperability, trust, and ultimately to provide growth and employment opportunities by facilitating data exchange across organisations, disciplines and geographical borders."
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A3,8aee43521f6b3ab69785784831b651574a5496fd5996bb8c61a80e479f633fa0,Are you aware of public references of the respective specification by public authorities (especially policies or in procurements) ?,1e62a897-c9d7-4879-9615-fff0966705c1,1,8e70f284-9c15-42ee-b1e6-defe5ed80f80,"The German Climate Computing Center (DKRZ) has used the recommendation to deploy an operative service that enables data users to create custom research data collections (""data carts"") as part of the global Earth System Grid Federation (ESGF): https://esgf-data.dkrz.de/projects/esgf-dkrz/datacart_pid"
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A4,f6669d041c301e6aadc132bb9de2d1d2f620f9fcb8b5d147c7b08c0393b53d0c,"Does the technical specification or standard cover areas different from areas addressed by technical specifications being under consideration to become a European standard? 
(i.e. technical specifications provided by a non-formal standardisation organisation, that is other than CEN, CENELEC or ETSI can be under consideration to become a European standard or alternatively an identified technical specification)",afcf66d5-18ae-43f7-8147-96b6299b88c6,1,fcac3b92-0129-4366-b17a-4864c3b9f181,"The Data Collections API specification covers a specific area of application, guidelines for the data collections exchange through APIs; that is actually not covered by any other technical specification being under consideration to become a European standard. This conclusion has been drawn from the examination of all the programming mandates addressed to CEN, CENELEC and ETSI to the date, CEN’s webpage , CENELEC’s webpage , CEN-CENELEC’s webpage ICT section , the EC Information Providers Guide, Directive (EU) 2016/2102 of the European Parliament and of the Council of 26 October 2016 on the accessibility of the websites and mobile applications of public sector bodies , the standards and tools for exchange and processing of actionable information inventory of ENISA  and the ENISA Programming Document 2018-2020 "
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A5a.,c3d200f09880d91d08826557de1524471d65e2807cbd8bc6c5c2bbed77fe47ea,Is the adoption of new European Standards which cover the same areas as the proposed specification (or standard) foreseen within a reasonable timeframe? ,6041329e-a23d-4f8e-b198-8e718b714cf4,0,14533315-2bf1-40c9-b914-24a83861086c,"No overlap has been detected with European standardisation organisations activities at EU level.
This conclusion is based on the work programme of CEN  and ETSI  as published on their respective websites, and on the ENISA Programming Document 2018-2020 .
"
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A5b.,923825ea86a7939a1cbdcdeb83be96b047beaaeb51b65f1f119e75f841841181,Are there existing European standards with market uptake which cover the same areas as the proposed specification (or standard) being assessed?,195e37c2-4087-431a-8213-3e42a572d311,0,b7185ac9-e4b9-4284-a777-9bd11f7c80a0,"Having checked the documentation included in point 2.2.1, the conclusion has been reached of “RDA Data Collections API” not being foreseen to be transposed into a European standard within a reasonable time period."
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A6,a085272697eadd8638ed45af45c77ae88aed7cadb14f84d957c5c3b2248bd986,Is the standards developing organisation a non-profit making organisation? ,f926e1e0-1d6b-4b5e-ba4b-ad62edfa62ae,1,91e87d10-799c-4b60-bcbd-3f118f9f4a03,"The Research Data Alliance (RDA) is a non-profit organisation
See: https://www.rd-alliance.org"
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A7,4386f49ebcfb474f011867d54ec0e7a7c561f91c288f5809299a05d781432bf0,"Is participation in the creation process of the specification open to all interested parties (e.g. organisations, companies or individuals)?",ca9af80d-0de5-4fc9-a6a0-9e6ddc2a8054,1,13bed76e-0958-4193-940e-ff5e06ce9081,"RDA specification and recommendation processes are open from inception. Individual membership to RDA is free and open to all, as long as individuals subscribe to the RDA Guiding Principles (https://rd-alliance.org/about/get-involved.html):
• Openness – Membership is open to all interested individuals who subscribe to the RDA’s Guiding Principles. RDA community meetings and processes are open, and the deliverables of RDA Working Groups will be publicly disseminated.
• Consensus – The RDA moves forward by achieving consensus among its membership. RDA processes and procedures include appropriate mechanisms to resolve conflicts.
• Balance – The RDA seeks to promote balanced representation of its membership and stakeholder communities.
• Harmonization – The RDA works to achieve harmonization across data standards, policies, technologies, infrastructure, and communities.
• Community-driven – The RDA is a public, community-driven body constituted of volunteer members and organizations, supported by the RDA Secretariat.
• Non-profit - RDA does not promote, endorse, or sell commercial products, technologies, or services.

Organisations may join RDA as members for an annual fee. Full details are provided at https://rd-alliance.org/organisation/rda-organisation-affiliate-members/rda-organisational-membership.html

RDA Specifications, upon delivery, are assessed by the RDA Technical Advisory Board (TAB) and feedback / comments are given. All outputs go through an open and transparent Request for Comments process of 1 month on the RDA web platform. Details on the process are available at - https://www.rd-alliance.org/groups/creating-and-managing-rda-groups/working-group-outputs.html"
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A8,2614723a75c6a002b733f97562482608046dd2e6da97e3073312dbbdaf482279,Are the specifications approved in a decision making process which aims at reaching consensus?,8bf5fa2c-0231-4201-8ac7-2caed5260872,1,8b7ccd4a-4c42-48f6-9a73-b23a81c9d323,"Consensus is a foundation upon which the Alliance is built and all processes and procedures, particularly in connection to the focus, work plans, deliverables, milestones and tangible specifications / recommendations are consensus based."
b9440c7f1370328ce9bdd6c4f59d55038347db0f1ac188400906f1fc006887da,Data Collections API,3.0.0,30/04/2019,MSP,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-03-31 00:00:00,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,8d4a582d8a713997ae5cefbb6fca284d18f07e22a2b0e0913c92d3120bbf4e17,a4a47324-84ea-49c8-ad91-75e88cba0486,Data Collections API,https://rd-alliance.org/system/files/rda-collections-recommendation_ref10112017.pdf ,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,3/31/2020,,A9,d310596912dbc916997008f4aed16a81cf5e708cd907e3c53a2e4207468b468b,Is relevant documentation of the development and approval process of the specification archived and identified?,79f9bded-dda8-4638-b1b3-c0c3c3e70ab6,1,45d796af-b7f6-462e-9d27-3fbf8445174b,Transparency of the development process is evidenced by a defined and publicly available documentation on the development and maintenance of the specification.
